total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
195900.0,-630300.0,-630300,0,0,0,2,2,25,40,258,200,461
179300.0,-646900.0,-646900,0,0,0,1,3,27,43,246,186,467
161600.0,-664600.0,-664600,0,0,0,0,3,26,35,263,212,461
151400.0,-674800.0,-674800,0,0,0,0,2,29,25,270,184,464
150500.0,-675700.0,-675700,0,0,0,0,3,19,32,228,214,449
149600.0,-676600.0,-676600,0,0,0,0,3,14,36,269,198,455
185100.0,-641100.0,-650500,0,0,0,1,4,27,43,251,196,460
136500.0,-689700.0,-689700,0,0,0,0,0,15,33,266,208,431
168900.0,-657300.0,-657300,0,0,0,0,6,26,38,266,192,439
147600.0,-678600.0,-678600,0,0,0,0,1,25,22,252,220,456
153100.0,-673100.0,-673100,0,0,0,0,1,23,41,274,209,451
147900.0,-678300.0,-678300,0,0,0,0,2,19,31,254,203,463
147200.0,-679000.0,-679000,0,0,0,0,1,21,38,264,200,448
146200.0,-680000.0,-680000,0,0,0,0,3,20,27,252,196,430
152400.0,-673800.0,-673800,0,0,0,0,2,26,32,261,209,429
181900.0,-644300.0,-644300,0,0,0,1,3,22,42,243,227,458
185700.0,-640500.0,-640500,0,0,0,1,6,21,34,258,205,445
167700.0,-658500.0,-658500,0,0,0,1,1,27,24,253,211,450
214600.0,-611600.0,-611600,0,0,0,3,4,14,44,263,200,435
146200.0,-680000.0,-680000,0,0,0,0,2,22,31,283,176,447
170000.0,-656200.0,-656200,0,0,0,0,6,21,36,258,207,476
151700.0,-674500.0,-674500,0,0,0,0,1,22,39,242,220,463
147200.0,-679000.0,-679000,0,0,0,0,3,14,36,254,195,452
155500.0,-670700.0,-670700,0,0,0,0,3,18,43,258,210,441
145200.0,-681000.0,-681000,0,0,0,0,1,21,36,281,185,449
154100.0,-672100.0,-672100,0,0,0,0,2,24,36,268,210,437
157600.0,-668600.0,-668600,0,0,0,0,2,31,41,244,190,460
301600.0,-524600.0,-524600,0,0,1,0,2,19,38,261,202,467
169900.0,-656300.0,-656300,0,0,0,1,2,14,29,283,218,472
156200.0,-670000.0,-670000,0,0,0,0,3,23,35,272,196,454
154600.0,-671600.0,-672700,0,0,0,0,6,17,34,237,175,447
139400.0,-686800.0,-686800,0,0,0,0,1,15,44,233,182,461
143600.0,-682600.0,-682600,0,0,0,0,0,23,37,246,199,460
151800.0,-674400.0,-674400,0,0,0,0,2,18,37,286,201,458
164000.0,-662200.0,-662200,0,0,0,1,1,20,38,232,205,446
200400.0,-625800.0,-625800,0,0,0,2,4,19,39,272,205,454
178500.0,-647700.0,-647700,0,0,0,1,5,18,43,271,188,422
173000.0,-653200.0,-653200,0,0,0,1,1,27,43,262,198,444
153500.0,-672700.0,-672700,0,0,0,0,1,25,33,287,227,422
162700.0,-663500.0,-663500,0,0,0,0,6,22,29,255,197,446
174900.0,-651300.0,-651300,0,0,0,1,1,27,45,232,230,421
188100.0,-638100.0,-638100,0,0,0,2,2,19,42,246,191,453
149900.0,-676300.0,-676300,0,0,0,0,2,17,30,255,225,458
173000.0,-653200.0,-653200,0,0,0,0,7,18,45,249,220,437
142200.0,-684000.0,-684000,0,0,0,0,2,15,30,273,184,461
142700.0,-683500.0,-683500,0,0,0,0,2,17,28,255,198,448
184800.0,-641400.0,-641400,0,0,0,1,7,16,42,242,209,412
316800.0,-509400.0,-509400,0,0,1,0,6,18,34,288,204,452
154600.0,-671600.0,-671600,0,0,0,0,2,19,48,274,199,450
323800.0,-502400.0,-502400,0,0,1,1,3,20,39,264,189,460
186700.0,-639500.0,-639500,0,0,0,2,1,18,30,266,208,481
167300.0,-658900.0,-658900,0,0,0,0,5,18,45,270,222,435
159600.0,-666600.0,-666600,0,0,0,0,3,24,44,245,204,455
169400.0,-656800.0,-656800,0,0,0,1,3,23,28,241,179,479
144900.0,-681300.0,-681300,0,0,0,0,1,19,33,262,203,457
152700.0,-673500.0,-673500,0,0,0,0,2,20,44,266,198,449
147000.0,-679200.0,-679200,0,0,0,0,2,19,35,263,201,433
295100.0,-531100.0,-531100,0,0,1,0,1,20,36,268,185,469
192400.0,-633800.0,-633800,0,0,0,2,3,16,37,270,188,482
148000.0,-678200.0,-678200,0,0,0,0,1,21,32,266,215,448
151000.0,-675200.0,-675200,0,0,0,0,1,24,44,275,194,439
155000.0,-671200.0,-671200,0,0,0,0,4,18,40,263,186,451
315900.0,-510300.0,-510300,0,0,1,0,4,27,30,298,203,459
147400.0,-678800.0,-678800,0,0,0,0,2,20,43,237,199,427
153400.0,-672800.0,-672800,0,0,0,0,2,24,35,259,200,463
329000.0,-497200.0,-497200,0,0,1,1,4,19,39,247,222,431
155800.0,-670400.0,-670400,0,0,0,0,2,18,35,275,226,467
147000.0,-679200.0,-679200,0,0,0,0,3,17,24,270,202,444
157300.0,-668900.0,-670000,0,0,0,0,3,23,46,275,183,444
152900.0,-673300.0,-673300,0,0,0,0,2,18,39,276,221,431
149400.0,-676800.0,-676800,0,0,0,0,3,18,31,260,184,478
146300.0,-679900.0,-679900,0,0,0,0,2,14,30,295,199,458
160700.0,-665500.0,-665500,0,0,0,0,3,30,37,231,204,460
171300.0,-654900.0,-654900,0,0,0,1,2,19,44,263,191,460
152800.0,-673400.0,-673400,0,0,0,0,4,21,31,259,195,427
165800.0,-660400.0,-662800,0,0,0,1,2,19,37,281,183,431
146800.0,-679400.0,-679400,0,0,0,0,1,20,35,275,202,449
204100.0,-622100.0,-622100,0,0,0,2,4,21,49,254,198,467
170600.0,-655600.0,-655600,0,0,0,1,3,22,30,265,189,447
167500.0,-658700.0,-658700,0,0,0,1,4,19,33,248,158,467
184800.0,-641400.0,-644400,0,0,0,1,7,15,37,258,197,448
185000.0,-641200.0,-641200,0,0,0,2,2,25,23,255,185,453
153200.0,-673000.0,-673000,0,0,0,0,3,24,33,238,219,412
187400.0,-638800.0,-638800,0,0,0,2,1,19,37,265,206,457
209600.0,-616600.0,-616600,0,0,0,2,5,25,36,253,218,463
181900.0,-644300.0,-644300,0,0,0,1,6,14,43,266,203,423
148900.0,-677300.0,-677300,0,0,0,0,1,21,33,276,206,461
170400.0,-655800.0,-655800,0,0,0,0,6,30,31,270,195,440
149400.0,-676800.0,-676800,0,0,0,0,2,20,49,287,154,463
360600.0,-465600.0,-466300,0,0,1,3,1,17,37,275,225,457
162600.0,-663600.0,-663600,0,0,0,1,1,17,36,280,188,450
146900.0,-679300.0,-679300,0,0,0,0,2,15,41,283,185,452
156300.0,-669900.0,-669900,0,0,0,0,2,20,51,245,215,444
137300.0,-688900.0,-688900,0,0,0,0,1,17,24,274,194,439
151100.0,-675100.0,-675100,0,0,0,0,3,18,35,245,213,436
142100.0,-684100.0,-684100,0,0,0,0,1,18,43,243,189,444
