cost,prize,profit,draws,max_drawdown,h_jp,h_2nd,h_3rd
117100,30400.0,-86700.0,387,-87550.0,0,0,0
117100,36400.0,-80700.0,387,-80700.0,0,0,0
117100,38400.0,-78700.0,387,-78700.0,0,0,0
117100,39000.0,-78100.0,387,-78100.0,0,0,0
117100,32800.0,-84300.0,387,-84300.0,0,0,0
117100,26800.0,-90300.0,387,-90300.0,0,0,0
117100,102078.0,-15022.0,387,-57150.0,0,0,1
117100,47600.0,-69500.0,387,-69650.0,0,0,0
117100,36600.0,-80500.0,387,-80500.0,0,0,0
117100,35600.0,-81500.0,387,-81500.0,0,0,0
117100,32600.0,-84500.0,387,-84550.0,0,0,0
117100,33400.0,-83700.0,387,-83700.0,0,0,0
117100,35200.0,-81900.0,387,-83150.0,0,0,0
117100,49529.0,-67571.0,387,-74550.0,0,0,0
117100,34800.0,-82300.0,387,-82300.0,0,0,0
117100,38200.0,-78900.0,387,-78900.0,0,0,0
117100,43800.0,-73300.0,387,-73350.0,0,0,0
117100,28400.0,-88700.0,387,-88700.0,0,0,0
117100,31000.0,-86100.0,387,-86300.0,0,0,0
117100,27000.0,-90100.0,387,-90100.0,0,0,0
117100,45400.0,-71700.0,387,-71900.0,0,0,0
117100,29000.0,-88100.0,387,-88100.0,0,0,0
117100,29200.0,-87900.0,387,-87900.0,0,0,0
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,32400.0,-84700.0,387,-84700.0,0,0,0
117100,35400.0,-81700.0,387,-81900.0,0,0,0
117100,29400.0,-87700.0,387,-87700.0,0,0,0
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,31000.0,-86100.0,387,-86100.0,0,0,0
117100,27800.0,-89300.0,387,-89300.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,28200.0,-88900.0,387,-88900.0,0,0,0
117100,31400.0,-85700.0,387,-85700.0,0,0,0
117100,32400.0,-84700.0,387,-84700.0,0,0,0
117100,58657.0,-58443.0,387,-58643.0,0,0,0
117100,36600.0,-80500.0,387,-80550.0,0,0,0
117100,38800.0,-78300.0,387,-78300.0,0,0,0
117100,31800.0,-85300.0,387,-85300.0,0,0,0
117100,33000.0,-84100.0,387,-84100.0,0,0,0
117100,37400.0,-79700.0,387,-79700.0,0,0,0
117100,36200.0,-80900.0,387,-80950.0,0,0,0
117100,64495.0,-52605.0,387,-52605.0,0,0,0
117100,42200.0,-74900.0,387,-74900.0,0,0,0
117100,36400.0,-80700.0,387,-80900.0,0,0,0
117100,30600.0,-86500.0,387,-86500.0,0,0,0
117100,35800.0,-81300.0,387,-81350.0,0,0,0
117100,31400.0,-85700.0,387,-85700.0,0,0,0
117100,44335.0,-72765.0,387,-72765.0,0,0,0
117100,28400.0,-88700.0,387,-88700.0,0,0,0
117100,40600.0,-76500.0,387,-76500.0,0,0,0
117100,40000.0,-77100.0,387,-77100.0,0,0,0
117100,32200.0,-84900.0,387,-84900.0,0,0,0
117100,29400.0,-87700.0,387,-87900.0,0,0,0
117100,30400.0,-86700.0,387,-86700.0,0,0,0
117100,33800.0,-83300.0,387,-83500.0,0,0,0
117100,30800.0,-86300.0,387,-86300.0,0,0,0
117100,37800.0,-79300.0,387,-79300.0,0,0,0
117100,31600.0,-85500.0,387,-85500.0,0,0,0
117100,32400.0,-84700.0,387,-84700.0,0,0,0
117100,27600.0,-89500.0,387,-89500.0,0,0,0
117100,46630.0,-70470.0,387,-70470.0,0,0,0
117100,39800.0,-77300.0,387,-77500.0,0,0,0
117100,112689.0,-4411.0,387,-47000.0,0,0,1
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,51257.0,-65843.0,387,-65843.0,0,0,0
117100,34000.0,-83100.0,387,-83100.0,0,0,0
117100,37600.0,-79500.0,387,-79500.0,0,0,0
117100,28200.0,-88900.0,387,-88900.0,0,0,0
117100,37600.0,-79500.0,387,-79500.0,0,0,0
117100,28600.0,-88500.0,387,-88550.0,0,0,0
117100,54571.0,-62529.0,387,-63900.0,0,0,0
117100,38200.0,-78900.0,387,-79100.0,0,0,0
117100,28200.0,-88900.0,387,-88900.0,0,0,0
117100,28200.0,-88900.0,387,-88900.0,0,0,0
117100,32800.0,-84300.0,387,-84300.0,0,0,0
117100,66473.0,-50627.0,387,-50627.0,0,0,0
117100,32200.0,-84900.0,387,-84900.0,0,0,0
117100,32600.0,-84500.0,387,-84550.0,0,0,0
117100,33600.0,-83500.0,387,-83500.0,0,0,0
