cost,prize,profit,draws,h61,h60,h51
214500,43800.0,-170700.0,1384,0,0,0
214500,31200.0,-183300.0,1384,0,0,0
214500,38900.0,-175600.0,1384,0,0,0
214500,47100.0,-167400.0,1384,0,0,0
214500,42100.0,-172400.0,1384,0,0,0
214500,36600.0,-177900.0,1384,0,0,0
214500,59500.0,-155000.0,1384,0,0,0
214500,190700.0,-23800.0,1384,0,0,1
214500,37000.0,-177500.0,1384,0,0,0
214500,46300.0,-168200.0,1384,0,0,0
214500,58900.0,-155600.0,1384,0,0,0
214500,47500.0,-167000.0,1384,0,0,0
214500,39000.0,-175500.0,1384,0,0,0
214500,42800.0,-171700.0,1384,0,0,0
214500,35100.0,-179400.0,1384,0,0,0
