total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
158700.0,-655700.0,-655700,0,0,0,0,3,16,45,271,220,448
168500.0,-645900.0,-645900,0,0,0,1,1,22,37,279,182,478
142300.0,-672100.0,-672100,0,0,0,0,1,18,38,242,179,487
148900.0,-665500.0,-665500,0,0,0,0,2,21,38,245,205,434
142800.0,-671600.0,-671600,0,0,0,0,3,10,26,283,215,411
154800.0,-659600.0,-659600,0,0,0,0,3,19,30,294,186,490
158900.0,-655500.0,-655500,0,0,0,0,5,20,29,246,209,449
193100.0,-621300.0,-621300,0,0,0,1,8,20,33,276,184,475
191200.0,-623200.0,-623200,0,0,0,1,4,22,42,261,245,457
170300.0,-644100.0,-644100,0,0,0,1,2,20,37,306,193,423
134700.0,-679700.0,-679700,0,0,0,0,1,12,34,247,196,436
178100.0,-636300.0,-636300,0,0,0,1,2,22,39,251,218,482
165200.0,-649200.0,-649200,0,0,0,1,0,18,40,264,219,446
168100.0,-646300.0,-646300,0,0,0,1,3,12,26,263,211,476
177100.0,-637300.0,-637300,0,0,0,1,3,26,32,269,203,440
171200.0,-643200.0,-643200,0,0,0,1,2,21,40,238,203,460
208400.0,-606000.0,-606000,0,0,0,2,5,25,31,282,226,426
147600.0,-666800.0,-666800,0,0,0,0,2,16,38,253,204,455
166000.0,-648400.0,-648400,0,0,0,1,1,21,41,251,201,435
147400.0,-667000.0,-667000,0,0,0,0,3,16,32,237,202,457
141700.0,-672700.0,-672700,0,0,0,0,2,13,41,248,178,465
151200.0,-663200.0,-663200,0,0,0,1,0,8,38,237,207,445
163200.0,-651200.0,-651200,0,0,0,1,1,21,39,258,191,428
146200.0,-668200.0,-668200,0,0,0,0,2,17,40,235,197,457
170500.0,-643900.0,-643900,0,0,0,1,3,18,39,258,185,457
186600.0,-627800.0,-627800,0,0,0,2,2,17,41,241,189,467
164800.0,-649600.0,-649600,0,0,0,1,2,23,39,229,188,423
143300.0,-671100.0,-671100,0,0,0,0,1,16,31,274,219,429
152500.0,-661900.0,-661900,0,0,0,0,2,21,40,272,208,429
160400.0,-654000.0,-654000,0,0,0,0,5,20,36,237,214,435
