total_prize_real,net_profit_real,max_drawdown,total_cost,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
311900.0,-502500.0,-564100,814400,0,0,1,0,5,21,41,261,185,456
177800.0,-636600.0,-636600,814400,0,0,0,1,4,24,32,250,200,448
168100.0,-646300.0,-646300,814400,0,0,0,0,7,19,48,243,194,426
179000.0,-635400.0,-635400,814400,0,0,0,2,1,19,34,255,191,425
169900.0,-644500.0,-644500,814400,0,0,0,1,3,14,37,267,192,468
177200.0,-637200.0,-637200,814400,0,0,0,1,5,19,30,247,191,471
177400.0,-637000.0,-637000,814400,0,0,0,1,2,15,50,230,215,514
172800.0,-641600.0,-641600,814400,0,0,0,1,3,19,39,272,190,448
158500.0,-655900.0,-655900,814400,0,0,0,0,5,20,33,270,197,429
300300.0,-514100.0,-514100,814400,0,0,1,0,6,15,36,231,168,432
168300.0,-646100.0,-646100,814400,0,0,0,1,1,28,36,269,193,420
173800.0,-640600.0,-640600,814400,0,0,0,1,5,23,32,247,176,427
310100.0,-504300.0,-504300,814400,0,0,1,0,3,26,39,246,208,455
151700.0,-662700.0,-662700,814400,0,0,0,0,4,12,35,273,189,470
152100.0,-662300.0,-662300,814400,0,0,0,0,2,25,35,257,211,422
158700.0,-655700.0,-655700,814400,0,0,0,0,4,18,39,249,207,464
165600.0,-648800.0,-648800,814400,0,0,0,1,1,21,35,252,195,466
177600.0,-636800.0,-636800,814400,0,0,0,1,3,21,36,227,238,441
148400.0,-666000.0,-666000,814400,0,0,0,0,2,19,37,256,197,454
178000.0,-636400.0,-636400,814400,0,0,0,1,3,18,47,277,200,451
175200.0,-639200.0,-639200,814400,0,0,0,1,4,16,51,254,189,428
161800.0,-652600.0,-652600,814400,0,0,0,1,0,22,43,280,174,442
186600.0,-627800.0,-627800,814400,0,0,0,2,3,14,41,265,182,441
148200.0,-666200.0,-666200,814400,0,0,0,0,2,22,35,252,205,424
164600.0,-649800.0,-649800,814400,0,0,0,1,2,19,34,262,197,422
150900.0,-663500.0,-663500,814400,0,0,0,0,2,15,38,252,215,475
165200.0,-649200.0,-649200,814400,0,0,0,1,1,17,35,267,212,445
151500.0,-662900.0,-662900,814400,0,0,0,0,5,21,31,244,181,417
160600.0,-653800.0,-653800,814400,0,0,0,0,2,23,50,274,204,460
139800.0,-674600.0,-674600,814400,0,0,0,0,0,28,32,245,197,407
164900.0,-649500.0,-649500,814400,0,0,0,1,2,14,37,271,198,442
160600.0,-653800.0,-653800,814400,0,0,0,1,0,21,39,248,205,424
169200.0,-645200.0,-654600,814400,0,0,0,1,1,22,34,268,206,460
157700.0,-656700.0,-656700,814400,0,0,0,0,5,14,42,261,200,436
164000.0,-650400.0,-650400,814400,0,0,0,0,8,10,42,255,191,435
